crash_id,crash_event,crash_type,number_fatalities
524,20241086,Single,1
525,20241224,Single,1
526,20241265,Multiple,1
527,20241202,Single,1
528,20245052,Single,1
529,20245064,Single,1
530,20246023,Multiple,1
531,20241293,Multiple,1
532,20241299,Multiple,1
533,20244078,Single,1
534,20243164,Multiple,1
535,20242201,Single,1
536,20245117,Single,1
537,20241307,Single,1
538,20242074,Multiple,2
539,20241243,Multiple,2
540,20247034,Single,1
541,20241260,Single,1
542,20243004,Single,1
543,20246014,Multiple,2
544,20242024,Multiple,1
545,20245105,Single,1
546,20243169,Single,1
547,20243081,Multiple,2
548,20242169,Single,1
549,20242119,Single,1
550,20241110,Single,1
551,20241082,Multiple,1
552,20242062,Single,1
553,20245132,Multiple,1
554,20241159,Single,1
555,20246022,Multiple,1
556,20241229,Single,1
557,20245062,Single,1
558,20242026,Single,1
559,20247009,Single,1
560,20242268,Single,1
561,20242238,Single,1
562,20242122,Multiple,1
563,20241046,Single,3
564,20243192,Multiple,1
565,20241032,Multiple,2
566,20241031,Multiple,1
567,20243254,Single,1
568,20243133,Single,1
569,20241203,Single,1
570,20247046,Single,1
571,20243118,Single,1
572,20243173,Multiple,1
573,20243199,Single,1
574,20244003,Single,1
575,20241298,Single,1
576,20242112,Multiple,2
577,20243092,Multiple,1
578,20243042,Multiple,1
579,20243221,Multiple,1
580,20244005,Multiple,1
581,20243178,Multiple,1
582,20245074,Single,1
583,20242196,Single,1
584,20244050,Multiple,1
585,20241208,Multiple,1
586,20242259,Single,1
587,20242212,Multiple,1
588,20244045,Single,1
589,20243019,Multiple,1
590,20241036,Multiple,1
591,20242226,Single,1
592,20247007,Single,1
593,20243074,Multiple,1
594,20241003,Single,1
595,20241277,Single,1
596,20241249,Single,1
597,20242020,Multiple,1
598,20242108,Multiple,1
599,20243120,Multiple,1
600,20242187,Multiple,1
601,20245075,Single,1
602,20243116,Multiple,2
603,20245151,Single,1
604,20242133,Single,1
605,20241092,Multiple,1
606,20245050,Single,2
